ID,Tytuł,Autor,Cykl,Średnia ocena,Liczba ocen,Czytelnicy,Opinie,Ocena użytkownika,Link,Data przeczytania,Na półkach Głowne,Na półkach Pozostałe
4977674,Godzina zero,Craig Alanson,Expeditionary Force (tom 5),"7,3",214,378,9,,https://lubimyczytac.pl/ksiazka/4977674/godzina-zero,,Przeczytane,
4972110,Black Ops,Craig Alanson,Expeditionary Force (tom 4),"7,2",249,424,13,,https://lubimyczytac.pl/ksiazka/4972110/black-ops,,Przeczytane,
4978271,Kłopoty na Paradise,Craig Alanson,Expeditionary Force (tom 3.5),"6,9",160,305,11,,https://lubimyczytac.pl/ksiazka/4978271/klopoty-na-paradise,,Przeczytane,
4959327,Paradise,Craig Alanson,Expeditionary Force (tom 3),"7,2",301,494,23,,https://lubimyczytac.pl/ksiazka/4959327/paradise,,Przeczytane,
4939443,SpecOps,Craig Alanson,Expeditionary Force (tom 2),"7,2",343,543,29,,https://lubimyczytac.pl/ksiazka/4939443/specops,,Przeczytane,
4924157,Dzień Kolumba,Craig Alanson,Expeditionary Force (tom 1),"7,3",460,993,68,,https://lubimyczytac.pl/ksiazka/4924157/dzien-kolumba,,Przeczytane,
5095506,Świat zieleni,B.V. Larson,Legion nieśmiertelnych (tom 15),"7,1",119,318,5,,https://lubimyczytac.pl/ksiazka/5095506/swiat-zieleni,2024-10-13,Przeczytane,Legion Nieśmiertelnych
5087700,Świat Skraju,B.V. Larson,Legion nieśmiertelnych (tom 14),"7,1",122,333,7,,https://lubimyczytac.pl/ksiazka/5087700/swiat-skraju,,Przeczytane,Legion Nieśmiertelnych
5076376,Świat Szkła,B.V. Larson,Legion nieśmiertelnych (tom 13),"7,1",141,345,8,,https://lubimyczytac.pl/ksiazka/5076376/swiat-szkla,,Przeczytane,Legion Nieśmiertelnych
5074232,Świat Klonów,B.V. Larson,Legion nieśmiertelnych (tom 12),"7,1",153,351,8,,https://lubimyczytac.pl/ksiazka/5074232/swiat-klonow,,Przeczytane,Legion Nieśmiertelnych
5113703,Tatuażysta z Auschwitz,Heather Morris,Tatuażysta z Auschwitz (tom 1),"7,2",18524,31008,2390,1,https://lubimyczytac.pl/ksiazka/5113703/tatuazysta-z-auschwitz,,Przeczytane,
5099156,Los pokonanych,Kel Kade,Tajne proroctwo (tom 1),"7,1",290,857,73,6,https://lubimyczytac.pl/ksiazka/5099156/los-pokonanych,,Przeczytane,
130409,Front burzowy,Jim Butcher,Akta Harry'ego Dresdena (tom 1),"6,6",2151,4448,266,6,https://lubimyczytac.pl/ksiazka/130409/front-burzowy,,Przeczytane,
